;id;date;price;bedrooms;bathrooms;sqft_living;sqft_lot;floors;waterfront;view;condition;grade;sqft_above;sqft_basement;yr_built;yr_renovated;zipcode;lat;long;level;house_age;dormitory_type;condition_type;year;day;year_week;nome_rua;num_casa;bairro;cidade;estado
0;7129300520;2014-10-13 00:00:00.000000000;221900.0;3;1.0;1180;5650;1.0;0;0;3;7;1180;0;1970-01-01 00:00:00.000001955;1970-01-01 00:00:00.000000000;98178;47.5112;-122.257;standard;new;house;regular;2014;13;41;61st Avenue South;10012;Rainier Beach;Seattle;Washington
1;6414100192;2014-12-09 00:00:00.000000000;538000.0;3;2.25;2570;7242;2.0;0;0;3;7;2170;400;1970-01-01 00:00:00.000001951;1970-01-01 00:00:00.000001991;98125;47.721000000000004;-122.319;standard;new;house;regular;2014;9;49;Northeast 127th Street;837;Northgate;Seattle;Washington
2;5631500400;2015-02-25 00:00:00.000000000;180000.0;2;1.0;770;10000;1.0;0;0;3;6;770;0;1970-01-01 00:00:00.000001933;1970-01-01 00:00:00.000000000;98028;47.7379;-122.23299999999999;standard;new;apartment;regular;2015;25;08;81st Avenue Northeast;15109;;;Washington
3;2487200875;2014-12-09 00:00:00.000000000;604000.0;4;3.0;1960;5000;1.0;0;0;5;7;1050;910;1970-01-01 00:00:00.000001965;1970-01-01 00:00:00.000000000;98136;47.5208;-122.39299999999999;high;new;house;good;2014;9;49;Fauntleroy Way Southwest;9236;;Seattle;Washington
4;1954400510;2015-02-18 00:00:00.000000000;510000.0;3;2.0;1680;8080;1.0;0;0;3;8;1680;0;1970-01-01 00:00:00.000001987;1970-01-01 00:00:00.000000000;98074;47.6168;-122.045;standard;new;house;regular;2015;18;07;221st Avenue Northeast;923;;;Washington
5;7237550310;2014-05-12 00:00:00.000000000;1225000.0;4;4.5;5420;101930;1.0;0;0;3;11;3890;1530;1970-01-01 00:00:00.000002001;1970-01-01 00:00:00.000000000;98053;47.6561;-122.005;high;old;house;regular;2014;12;19;Northeast Patterson Way;25005;;;Washington
6;1321400060;2014-06-27 00:00:00.000000000;257500.0;3;2.25;1715;6819;2.0;0;0;3;7;1715;0;1970-01-01 00:00:00.000001995;1970-01-01 00:00:00.000000000;98003;47.3097;-122.32700000000001;standard;old;house;regular;2014;27;25;South 330th Place;533;;;Washington
7;2008000270;2015-01-15 00:00:00.000000000;291850.0;3;1.5;1060;9711;1.0;0;0;3;7;1060;0;1970-01-01 00:00:00.000001963;1970-01-01 00:00:00.000000000;98198;47.4095;-122.315;standard;new;house;regular;2015;15;02;14th Avenue South;21421;Des Moines Creek;;Washington
8;2414600126;2015-04-15 00:00:00.000000000;229500.0;3;1.0;1780;7470;1.0;0;0;3;7;1050;730;1970-01-01 00:00:00.000001960;1970-01-01 00:00:00.000000000;98146;47.5123;-122.337;standard;new;house;regular;2015;15;15;Southwest 102nd Street;216;White Center;Seattle;Washington
9;3793500160;2015-03-12 00:00:00.000000000;323000.0;3;2.5;1890;6560;2.0;0;0;3;7;1890;0;1970-01-01 00:00:00.000002003;1970-01-01 00:00:00.000000000;98038;47.3684;-122.031;standard;new;house;regular;2015;12;10;232nd Place Southeast;26007;Katesridge;;Washington
